"Haltestellen_Id","Haltestellennummer","Haltestellenkurzname","Haltestellenlangname"
526,6594,"AHOR","Adliswil, Ahornweg"
528,148,"ABAD01","Adliswil, Badstrasse"
530,28,"BADL01","Adliswil, Bahnhof"
524,6593,"EWEG","Adliswil, Eichenweg"
529,6961,"AGRU","Adliswil, Grundstrasse"
533,6437,"GRUT","Adliswil, Grüt"
527,1227,"HOFA01","Adliswil, Hofackerstrasse"
531,1462,"KROA01","Adliswil, Krone"
523,6592,"ADMO","Adliswil, Moos"
532,2660,"TIAK01","Adliswil, Tiefacker"
478,6600,"IMBR","Aesch bei Maur, Im Brünneli"
479,6599,"ZOLL","Aesch bei Maur, Zollingerheim"
512,445,"BEBO","Benglen, Bodenacher"
511,446,"BGER","Benglen, Gerlisbrunnen"
473,6778,"BLAN","Benglen, Langwis"
661,425,"DBAL","Bergdietikon, Baltenschwil"
659,457,"BERL","Bergdietikon, Bergli"
658,466,"BOLD","Bergdietikon, Bernold"
662,729,"DUEN","Bergdietikon, Dünni"
399,6855,"GAL2","Bergdietikon, Garage 2 LIBU"
660,2085,"RIEW","Bergdietikon, Rietwies"
657,2789,"VORB","Bergdietikon, Vorbühl"
474,6779,"BBAU","Binz bei Maur, Bautacher"
502,3467,"FMAT","Binz bei Maur, Fridlimatt"
501,490,"MPOS","Binz bei Maur, Post"
644,501,"BIRMBHF","Birmensdorf ZH, Bahnhof"
643,6744,"RIST","Birmensdorf ZH, Ristet"
721,2570,"BIRMSTE","Birmensdorf ZH, Sternen/WSL"
428,657,"BDIE","Dietikon, Bahnhof"
632,414,"BSTD","Dietikon, Bahnhofstrasse"
445,502,"BIRM","Dietikon, Birmensdorferstrasse"
447,725,"DOER","Dietikon, Dörfli"
391,6038,"GALI","Dietikon, Garage Limmatbus AG"
451,990,"GJUC","Dietikon, Gjuchstrasse"
634,6693,"DGYR","Dietikon, Gyrhalden"
437,1091,"HAGA","Dietikon, Hagackerstrasse"
623,1265,"HATS","Dietikon, Hätschen"
427,6894,"DHEI","Dietikon, Heimstrasse"
446,1226,"HACK","Dietikon, Hofacker"
626,1417,"KIPL","Dietikon, Kirchplatz"
636,6695,"DLAE","Dietikon, Lätten"
436,1540,"LERZ","Dietikon, Lerzen"
663,1616,"MARW","Dietikon, Marmori-Weiher"
438,2399,"DMOO","Dietikon, Moosmatt"
624,1758,"ODIE","Dietikon, Oberdorf"
450,1843,"OETW","Dietikon, Oetwilerstrasse"
435,1868,"PEST","Dietikon, Pestalozzi"
434,1039,"DRAP","Dietikon, Rapidplatz"
627,2313,"SBAC","Dietikon, Schäflibach"
629,3472,"SWER","Dietikon, Schönenwerd"
439,6262,"DSIL","Dietikon, Silbern"
448,2406,"SOME","Dietikon, Sommerau"
621,6261,"STHA","Dietikon, Stadthalle Ost"
625,3344,"DSTA","Dietikon, Stadthaus"
633,2471,"STAF","Dietikon, Staffelackerstrasse"
622,2569,"STEA","Dietikon, Stelzenacker"
449,3798,"VORS","Dietikon, Vorstadt"
635,6694,"WEST","Dietikon, Weidstrasse"
637,6698,"DWEI","Dietikon, Weinberg"
468,81,"ALTZ","Dübendorf, Alterszentrum"
541,3146,"BDUN","Dübendorf, Bahnhof Nord"
464,2422,"DBRE","Dübendorf, Breitibach"
539,3478,"CITC","Dübendorf, City Center"
543,753,"EGLI","Dübendorf, Eglishölzli"
542,863,"FLUP","Dübendorf, Flugplatz"
389,6660,"DGIE07","Dübendorf, Giessen"
756,1054,"GRUZ","Dübendorf, Grüzenstrasse"
462,1228,"HOFF","Dübendorf, Hoffnung"
466,1273,"DHOG","Dübendorf, Högler"
483,1478,"KAMM","Dübendorf, Kämmaten"
467,1414,"KWIL","Dübendorf, Kirche Wil"
757,1451,"DKRE","Dübendorf, Kreuzbühl"
540,1572,"DLIN","Dübendorf, Lindenplatz"
538,1627,"MEHO","Dübendorf, Meiershofstrasse"
390,3785,"RINW","Dübendorf, Ringwiesen"
463,6346,"DSON","Dübendorf, Sonnental"
465,2838,"DWAS","Dübendorf, Wasserfurren"
755,2975,"ZELG","Dübendorf, Zelglistrasse"
476,738,"EBDO","Ebmatingen, Dorf"
475,1527,"LEEA","Ebmatingen, Leeacherstrasse"
477,1583,"MLOR","Ebmatingen, Looren"
499,6591,"GAAN","Effretikon, Garage Andres"
24,12487,"EGG99","Egg"
26,12488,"EMMA99","Emmat"
27,10804,"ESSL99","Esslingen"
425,815,"FAAU","Fahrweid, Au"
424,548,"BRUS","Fahrweid, Brunaustrasse"
426,1556,"LIMB","Fahrweid, Limmatbrücke"
469,544,"FBRU","Fällanden, Bruggacher"
471,750,"EGGL","Fällanden, Eggler"
482,947,"FAEL","Fällanden, Gemeindehaus"
513,1324,"FAEI","Fällanden, Industrie"
491,3133,"FJUG","Fällanden, Jugendherberge"
